site,county,pm25,datacreationdate,itemunit
屏東,屏東縣,23,2026-04-01 19:00,μg/m3
小港,高雄市,29,2026-04-01 19:00,μg/m3
前鎮,高雄市,23,2026-04-01 19:00,μg/m3
前金,高雄市,27,2026-04-01 19:00,μg/m3
左營,高雄市,30,2026-04-01 19:00,μg/m3
楠梓,高雄市,29,2026-04-01 19:00,μg/m3
林園,高雄市,20,2026-04-01 19:00,μg/m3
大寮,高雄市,29,2026-04-01 19:00,μg/m3
鳳山,高雄市,28,2026-04-01 19:00,μg/m3
仁武,高雄市,30,2026-04-01 19:00,μg/m3
橋頭,高雄市,28,2026-04-01 19:00,μg/m3
美濃,高雄市,23,2026-04-01 19:00,μg/m3
臺南,臺南市,27,2026-04-01 19:00,μg/m3
安南,臺南市,28,2026-04-01 19:00,μg/m3
善化,臺南市,27,2026-04-01 19:00,μg/m3
新營,臺南市,26,2026-04-01 19:00,μg/m3
嘉義,嘉義市,28,2026-04-01 19:00,μg/m3
臺西,雲林縣,14,2026-04-01 19:00,μg/m3
朴子,嘉義縣,24,2026-04-01 19:00,μg/m3
新港,嘉義縣,28,2026-04-01 19:00,μg/m3
崙背,雲林縣,23,2026-04-01 19:00,μg/m3
斗六,雲林縣,30,2026-04-01 19:00,μg/m3
南投,南投縣,23,2026-04-01 19:00,μg/m3
二林,彰化縣,21,2026-04-01 19:00,μg/m3
線西,彰化縣,8,2026-04-01 19:00,μg/m3
彰化,彰化縣,12,2026-04-01 19:00,μg/m3
西屯,臺中市,12,2026-04-01 19:00,μg/m3
忠明,臺中市,15,2026-04-01 19:00,μg/m3
大里,臺中市,19,2026-04-01 19:00,μg/m3
沙鹿,臺中市,13,2026-04-01 19:00,μg/m3
豐原,臺中市,12,2026-04-01 19:00,μg/m3
三義,苗栗縣,7,2026-04-01 19:00,μg/m3
苗栗,苗栗縣,5,2026-04-01 19:00,μg/m3
頭份,苗栗縣,7,2026-04-01 19:00,μg/m3
新竹,新竹市,5,2026-04-01 19:00,μg/m3
竹東,新竹縣,4,2026-04-01 19:00,μg/m3
湖口,新竹縣,6,2026-04-01 19:00,μg/m3
龍潭,桃園市,6,2026-04-01 19:00,μg/m3
平鎮,桃園市,7,2026-04-01 19:00,μg/m3
觀音,桃園市,12,2026-04-01 19:00,μg/m3
大園,桃園市,3,2026-04-01 19:00,μg/m3
桃園,桃園市,2,2026-04-01 19:00,μg/m3
大同,臺北市,7,2026-04-01 19:00,μg/m3
松山,臺北市,6,2026-04-01 19:00,μg/m3
古亭,臺北市,5,2026-04-01 19:00,μg/m3
萬華,臺北市,7,2026-04-01 19:00,μg/m3
中山,臺北市,3,2026-04-01 19:00,μg/m3
士林,臺北市,7,2026-04-01 19:00,μg/m3
淡水,新北市,10,2026-04-01 19:00,μg/m3
林口,新北市,7,2026-04-01 19:00,μg/m3
菜寮,新北市,6,2026-04-01 19:00,μg/m3
新莊,新北市,6,2026-04-01 19:00,μg/m3
板橋,新北市,9,2026-04-01 19:00,μg/m3
土城,新北市,7,2026-04-01 19:00,μg/m3
新店,新北市,9,2026-04-01 19:00,μg/m3
汐止,新北市,3,2026-04-01 19:00,μg/m3
基隆,基隆市,6,2026-04-01 19:00,μg/m3
